Arquivo,Tamanho (KB),Data Modificação
TG047_47769_66739_00845_000_20260226000911_91.13.BIN,33.64,26/02/2026 00:13
TG047_47262_66825_01492_000_20260226072328_91.13.BIN,32.12,26/02/2026 07:23
TG047_47266_67498_01181_000_20260226194502_91.13.BIN,20.10,26/02/2026 19:51
TG047_47670_66824_01165_000_20260226103745_91.13.BIN,34.20,26/02/2026 10:43
TG047_47670_66824_01166_000_20260226202959_91.13.BIN,37.42,26/02/2026 20:38
TG047_47671_66236_01522_000_20260226175153_91.13.BIN,13.43,26/02/2026 17:52
TG047_47673_67084_01514_000_20260226125031_91.13.BIN,42.51,26/02/2026 17:45
TG047_47673_67084_01515_000_20260226174158_91.13.BIN,26.85,26/02/2026 17:45
TG047_47677_66707_01241_000_20260226120017_91.13.BIN,20.93,26/02/2026 12:00
TG047_47678_66551_00072_000_20260226060435_91.13.BIN,3.26,26/02/2026 06:06
TG047_47678_66551_00073_000_20260226142949_91.13.BIN,39.24,26/02/2026 14:29
TG047_47678_66551_00074_000_20260226224759_91.13.BIN,37.33,26/02/2026 22:53
TG047_47683_66467_01278_000_20260226140406_91.13.BIN,29.62,26/02/2026 22:00
TG047_47683_66467_01279_000_20260226215317_91.13.BIN,18.92,26/02/2026 22:00
TG047_47690_67831_01446_000_20260226140652_91.13.BIN,70.66,26/02/2026 22:53
TG047_47690_67831_01447_000_20260226225103_91.13.BIN,36.00,26/02/2026 22:53
TG047_47752_68045_01414_000_20260226202415_91.13.BIN,36.84,26/02/2026 20:45
TG047_47753_66156_01258_000_20260226131554_91.13.BIN,31.59,26/02/2026 23:28
TG047_47753_66156_01259_000_20260226232734_91.13.BIN,16.54,26/02/2026 23:28
TG047_47754_66134_00003_000_20260226104643_91.13.BIN,31.13,26/02/2026 10:46
TG047_47761_67438_00993_000_20260226144430_91.13.BIN,44.80,26/02/2026 21:21
TG047_47761_67438_00994_000_20260226210835_91.13.BIN,13.80,26/02/2026 21:21
TG047_47763_66211_01226_000_20260226133000_91.13.BIN,52.40,26/02/2026 21:26
TG047_47763_66211_01227_000_20260226205555_91.13.BIN,36.41,26/02/2026 21:26
TG047_47764_66995_01157_000_20260226140656_91.13.BIN,18.88,26/02/2026 20:02
TG047_47764_66995_01158_000_20260226193431_91.13.BIN,32.14,26/02/2026 20:02
TG047_47766_68092_01204_000_20260226080021_91.13.BIN,13.71,26/02/2026 16:27
TG047_47767_66871_01403_000_20260226144502_91.13.BIN,59.61,26/02/2026 23:37
TG047_47767_66871_01404_000_20260226233738_91.13.BIN,29.36,26/02/2026 23:37
TG047_47769_66739_00846_000_20260226125917_91.13.BIN,42.83,26/02/2026 19:49
TG047_47769_66739_00847_000_20260226192346_91.13.BIN,36.33,26/02/2026 19:50
TG047_47770_67049_01329_000_20260226123102_91.13.BIN,54.04,26/02/2026 19:57
TG047_47770_67049_01330_000_20260226193623_91.13.BIN,59.12,26/02/2026 19:57
TG047_47772_67717_01343_000_20260226160000_91.13.BIN,53.04,26/02/2026 22:52
TG047_47772_67717_01344_000_20260226225032_91.13.BIN,24.65,26/02/2026 22:52
TG047_47775_67734_01124_000_20260226125409_91.13.BIN,84.63,26/02/2026 20:27
TG047_47775_67734_01125_000_20260226201708_91.13.BIN,42.32,26/02/2026 20:27
TG047_47776_66986_01414_000_20260226132624_91.13.BIN,50.12,26/02/2026 19:57
TG047_47776_66986_01415_000_20260226195506_91.13.BIN,32.59,26/02/2026 19:57
TG047_47778_67365_00690_000_20260226120855_91.13.BIN,41.69,27/02/2026 00:16
TG047_47778_67365_00691_000_20260226191827_91.13.BIN,32.45,27/02/2026 00:16
TG047_47778_67365_00692_000_20260226234812_91.13.BIN,14.00,27/02/2026 00:16
TG047_47780_68094_01421_000_20260226105628_91.13.BIN,41.80,26/02/2026 10:59
TG047_47781_67478_00129_000_20260226125712_91.13.BIN,57.53,26/02/2026 19:13
TG047_47781_67478_00130_000_20260226191413_91.13.BIN,35.10,26/02/2026 19:13
TG047_47782_66352_01059_000_20260226125030_91.13.BIN,57.67,26/02/2026 21:39
TG047_47782_66352_01060_000_20260226212527_91.13.BIN,34.86,26/02/2026 21:39
TG047_47785_66174_01324_000_20260226044948_91.13.BIN,3.27,26/02/2026 23:22
TG047_47785_66174_01325_000_20260226154740_91.13.BIN,82.96,26/02/2026 23:22
TG047_47785_66174_01326_000_20260226232148_91.13.BIN,55.75,26/02/2026 23:22
TG202_200644_67700_01372_000_20260226122725_91.13.BIN,34.55,26/02/2026 19:50
TG202_200644_67700_01373_000_20260226195049_91.13.BIN,47.76,26/02/2026 19:50
TG202_200653_67221_01082_000_20260226141647_91.13.BIN,48.40,26/02/2026 22:58
TG202_200653_67221_01083_000_20260226224907_91.13.BIN,14.82,26/02/2026 22:58
TG202_200653_67221_01084_000_20260226224958_91.13.BIN,2.20,26/02/2026 22:58
TG202_200655_66144_01607_000_20260226052643_91.13.BIN,5.88,26/02/2026 05:26
TG202_200655_66144_01608_000_20260226124144_91.13.BIN,28.37,26/02/2026 14:42
TG202_200655_66144_01609_000_20260226144203_91.13.BIN,5.46,26/02/2026 14:42
TG202_200655_66144_01610_000_20260226195159_91.13.BIN,35.11,26/02/2026 20:01
TG202_200659_67428_01154_000_20260226113902_91.13.BIN,11.45,26/02/2026 11:50
TG202_200700_66102_01481_000_20260226121233_91.13.BIN,47.44,26/02/2026 19:13
TG202_200700_66102_01482_000_20260226185718_91.13.BIN,50.20,26/02/2026 19:13
TG202_200702_66126_01338_000_20260226121544_91.13.BIN,27.68,26/02/2026 12:17
TG202_200702_66126_01339_000_20260226233600_91.13.BIN,18.18,26/02/2026 23:37
